符號：水果	/eug
符號：植物	/ezw
符號：樂器	/eyq
符號：武器/戰鬥	/ewq
符號：汽車	/eqc
符號：汽車	/eqi
符號：火車	/ehc
符號：火車	/ehi
符號：公交車	/egjc
符號：公交車	/egji
符號：獎牌	/ejp
符號：球類/球具	/eql
符號：甜點	/etd
符號：十二生肖	/esesx
符號：十二生肖	/eueux
符號：節慶	/ejrsc
符號：粗糧	/ecl
符號：精靈	/ejl
符號：船隻	/ecz
符號：船隻	/ecv
符號：花朵	/ehd
符號：蔬菜	/esc
符號：葉子	/eyz
符號：蟲子	/echz
符號：蟲子	/eiz
符號：血型	/exx
符號：西餐	/exc
符號：調料	/etl
符號：酒水	/ejs
符號：雪	/exue
符號：小零食	/exls
符號：小零食	/exlu
符號：電器/電子	/edq
符號：鞋子	/exz
符號：顏色	/eys
符號：飲品	/eyp
符號：餐具	/ecj
符號：髮型	/efx
符號：水生動物	/esw
符號：鳥類	/eniao
符號：麪包	/emb
符號：點心	/edx
符號：Emoji 17.0新增	/e17
符號：五角星	/wjx
符號：計數算籌數字符	/scsz
符號：橫式算籌數字	/sch
符號：縱式算籌數字	/scz
符號：象形計數符號	/xxtj
符號：西方計數符號	/xftj
化學：元素週期表	/hx
化學：氫	/hxh
化學：氦	/hxhe
化學：鋰	/hxli
化學：鈹	/hxbe
化學：硼	/hxb
化學：碳	/hxc
化學：氮	/hxn
化學：氧	/hxo
化學：氟	/hxf
化學：氖	/hxne
化學：鈉	/hxna
化學：鎂	/hxmg
化學：鋁	/hxal
化學：硅	/hxsi
化學：磷	/hxp
化學：硫	/hxs
化學：氯	/hxcl
化學：氬	/hxar
化學：鉀	/hxk
化學：鈣	/hxca
化學：鈧	/hxsc
化學：鈦	/hxti
化學：釩	/hxv
化學：鉻	/hxcr
化學：錳	/hxmn
化學：鐵	/hxfe
化學：鈷	/hxco
化學：鎳	/hxni
化學：銅	/hxcu
化學：鋅	/hxzn
化學：鎵	/hxga
化學：鍺	/hxge
化學：砷	/hxas
化學：硒	/hxse
化學：溴	/hxbr
化學：氪	/hxkr
化學：銣	/hxrb
化學：鍶	/hxsr
化學：釔	/hxy
化學：鋯	/hxzr
化學：鈮	/hxnb
化學：鉬	/hxmo
化學：鍀	/hxtc
化學：釕	/hxru
化學：銠	/hxrh
化學：鈀	/hxpd
化學：銀	/hxag
化學：鎘	/hxcd
化學：銦	/hxin
化學：錫	/hxsn
化學：銻	/hxsb
化學：碲	/hxte
化學：碘	/hxi
化學：氙	/hxxe
化學：銫	/hxcs
化學：鋇	/hxba
化學：鑭	/hxla
化學：鈰	/hxce
化學：鐠	/hxpr
化學：釹	/hxnd
化學：鉕	/hxpm
化學：釤	/hxsm
化學：銪	/hxeu
化學：釓	/hxgd
化學：鋱	/hxtb
化學：鏑	/hxdy
化學：鈥	/hxho
化學：鉺	/hxer
化學：銩	/hxtm
化學：鐿	/hxyb
化學：鑥	/hxlu
化學：鉿	/hxhf
化學：鉭	/hxta
化學：鎢	/hxw
化學：錸	/hxre
化學：鋨	/hxos
化學：銥	/hxir
化學：鉑	/hxpt
化學：金	/hxau
化學：汞	/hxhg
化學：鉈	/hxtl
化學：鉛	/hxpb
化學：鉍	/hxbi
化學：釙	/hxpo
化學：砹	/hxat
化學：氡	/hxrn
化學：鈁	/hxfr
化學：鐳	/hxra
化學：錒	/hxac
化學：釷	/hxth
化學：鏷	/hxpa
化學：鈾	/hxu
化學：鎿	/hxnp
化學：鈈	/hxpu
化學：鎇	/hxam
化學：鋦	/hxcm
化學：錇	/hxbk
化學：鐦	/hxcf
化學：鎄	/hxes
化學：鐨	/hxfm
化學：鍆	/hxmd
化學：鍩	/hxno
化學：鐒	/hxlr
化學：鑪	/hxrf
化學：𨧀	/hxdb
化學：𨭎	/hxsg
化學：𨨏	/hxbh
化學：𨭆	/hxhs
化學：䥑	/hxmt
化學：鐽	/hxds
化學：錀	/hxrg
化學：鎶	/hxcn
化學：鿭	/hxnh
化學：鈇	/hxfl
化學：鏌	/hxmc
化學：鉝	/hxlv
化學：鿬	/hxts
化學：鿫	/hxog
數學：粗體	/sxc
數學：斜體	/sxx
數學：粗斜體	/sxz
數學：花體	/sxh
數學：花體粗體	/sxhc
數學：哥特體	/sxg
數學：哥特粗體	/sxgc
數學：雙線體	/sxs
數學：無襯線體	/sxw
數學：無襯線粗體	/sxwc
數學：無襯線斜體	/sxwx
數學：無襯線粗斜體	/sxwz
數學：等寬體	/sxd
數學：希臘粗體	/xlc
數學：希臘斜體	/xlx
數學：希臘粗斜體	/xlz
數學：希臘無襯線粗體	/xlwc
數學：希臘無襯線粗斜體	/xlwz
化學式：(C₆H₁₀O₅)n	纖維素
化學式：(NH₄)₂SO₄	硫酸銨
化學式：2CaSO₄·H₂O	熟石膏
化學式：AgCl	氯化銀
化學式：AgNO₃	硝酸銀
化學式：Ag₂O	氧化銀
化學式：Al(OH)₃	氫氧化鋁
化學式：AlCl₃	氯化鋁
化學式：Al₂(SO₄)₃	硫酸鋁
化學式：Al₂O₃	三氧化二鋁
化學式：Al₂O₃	氧化鋁
化學式：Ba(OH)₂	氫氧化鋇
化學式：BaCl₂	氯化鋇
化學式：BaO	氧化鋇
化學式：BaSO₄	硫酸鋇
化學式：CH₃CH₂CH₂CH₃	丁烷
化學式：CH₃COOH	乙酸
化學式：CH₃COOH	醋酸
化學式：CH₃COOH	食醋
化學式：CH₃OH	甲醇
化學式：CH₄	甲烷
化學式：CO	一氧化碳
化學式：CO(NH₂)₂	尿素
化學式：CO₂	二氧化碳
化學式：CO₂	乾冰
化學式：Ca(NO₃)₂	硝酸鈣
化學式：Ca(OH)₂	氫氧化鈣
化學式：Ca(OH)₂	熟石灰
化學式：Ca(OH)₂	石灰水
化學式：CaCO₃	石灰石
化學式：CaCO₃	碳酸鈣
化學式：CaCl₂	氯化鈣
化學式：CaSO₄	硫酸鈣
化學式：CaSO₄·2H₂O	石膏
化學式：Ca₃(PO₄)₂	磷酸鈣
化學式：Cu(NO₃)₂	硝酸銅
化學式：Cu(OH)₂	氫氧化銅
化學式：CuCl₂	氯化銅
化學式：CuO	氧化銅
化學式：CuS	硫化銅
化學式：CuSO₄	硫酸銅
化學式：CuSO₄·5H₂O	膽礬
化學式：CuSO₄·₅H₂O	藍礬
化學式：Cu₂(OH)₂CO₃	孔雀石
化學式：Cu₂(OH)₂CO₃	鹼式碳酸銅
化學式：Cu₂(OH)₂CO₃	銅綠
化學式：Cu₂O	氧化亞銅
化學式：C₁₂H₂₂O₁₁	蔗糖
化學式：C₂H₂	乙炔
化學式：C₂H₆O	乙醇
化學式：C₂H₆O	酒精
化學式：C₃H₆N₆	三聚氰胺
化學式：C₃H₈	丙烷
化學式：C₆H₁₂O₆	葡萄糖
化學式：Fe	鐵粉
化學式：Fe(OH)₂	氫氧化亞鐵
化學式：Fe(OH)₃	氫氧化鐵
化學式：FeCl₂	氯化亞鐵
化學式：FeCl₃	氯化鐵
化學式：FeO	氧化亞鐵
化學式：FeSO₄	硫酸亞鐵
化學式：FeSO₄·7H₂O	綠礬
化學式：Fe₂(SO₄)₃	硫酸鐵
化學式：Fe₂O₃	三氧化二鐵
化學式：Fe₂O₃	氧化鐵
化學式：Fe₃O₄	四氧化三鐵
化學式：HBr	溴化氫
化學式：HCl	氯化氫
化學式：HCl	鹽酸
化學式：HNO₃	硝酸
化學式：H₂CO₃	碳酸
化學式：H₂O	shui
化學式：H₂O	一氧化二氫
化學式：H₂O	水
化學式：H₂O₂	二氧化氫
化學式：H₂O₂	過氧化氫
化學式：H₂S	硫化氫
化學式：H₂SO₃	亞硫酸
化學式：H₂SO₄	硫酸
化學式：H₃PO₄	磷酸
化學式：KAl(SO₄)₂·12H₂O	明礬
化學式：KCl	氯化鉀
化學式：KClO₃	氯酸鉀
化學式：KHSO₄	硫酸氫鉀
化學式：KH₂PO₄	磷酸二氫鉀
化學式：KMnO₄	高錳酸鉀
化學式：KNO₃	硝酸鉀
化學式：KOH	氫氧化鉀
化學式：K₂CO₃	碳酸鉀
化學式：K₂CO₃	草木灰
化學式：K₂MnO₄	錳酸鉀
化學式：K₂O	氧化鉀
化學式：K₂SO₄	硫酸鉀
化學式：LiNO₃	硝酸鋰
化學式：LiOH	氫氧化鋰
化學式：Mg(NO₃)₂	硝酸鎂
化學式：Mg(OH)₂	氫氧化鎂
化學式：MgCO₃	碳酸鎂
化學式：MgCl₂	氯化鎂
化學式：MgO	氧化鎂
化學式：MgSO₄	硫酸鎂
化學式：MnO₂	二氧化錳
化學式：NH₃·H₂O	氨水
化學式：NH₄Cl	氯化銨
化學式：NH₄HCO₃	碳酸氫銨
化學式：NH₄NO₃	硝酸銨
化學式：NH₄OH	氫氧化銨
化學式：NO	一氧化氮
化學式：NO₂	二氧化氮
化學式：NaCl	氯化鈉
化學式：NaCl	食鹽
化學式：NaHCO₃	碳酸氫鈉
化學式：NaHSO₄	硫酸氫鈉
化學式：NaH₂PO₄	磷酸二氫鈉
化學式：NaNO₂	亞硝酸鈉
化學式：NaNO₃	硝酸鈉
化學式：NaOH	氫氧化鈉
化學式：NaOH	燒鹼
化學式：NaSO₃	亞硫酸鈉
化學式：Na₂CO₃	碳酸鈉
化學式：Na₂CO₃	純鹼
化學式：Na₂CO₃·10H₂O	碳酸鈉晶體
化學式：Na₂O	氧化鈉
化學式：Na₂S	硫化鈉
化學式：Na₂SO₄	硫酸鈉
化學式：Pb(NO₃)₂	硝酸鉛
化學式：PbO	氧化鉛
化學式：P₂O₅	五氧化二磷
化學式：SO₂	二氧化硫
化學式：SO₃	三氧化硫
化學式：SiO₂	二氧化硅
化學式：WO₃	三氧化鎢
化學式：Zn(NO₃)₂	硝酸鋅
化學式：ZnCl₂	氯化鋅
化學式：BaTiO₃	鈦酸鋇
化學式：C₃H₆O	丙酮
化學式：LiNbO₃	鈮酸鋰
化學式：Si₃N₄	氮化硅
化學式：SrTiO₃	鈦酸鍶
化學式：MoS₂	二硫化鉬
化學式：LiTaO₃	鉭酸鋰
化學式：AlN	氮化鋁
化學式：Ta₂O₅	氧化鉭
化學式：Ta₂O₅	五氧化二鉭
化學式：Ga₂O₃	氧化鎵
化學式：Ga₂O₃	三氧化二鎵
化學式：SiC	碳化硅
化學式：TiO₂	二氧化鈦
化學式：H	氫
化學式：He	氦
化學式：Li	鋰
化學式：Be	鈹
化學式：B	硼
化學式：C	碳
化學式：N	氮
化學式：O	氧
化學式：F	氟
